Species	Latitude	Longitude
"Quercus rubra"	38.50118694	-90.67865216
"Quercus rubra"	37.5513202	-93.70032717
"Quercus rubra"	37.95884945	-92.78121482
"Quercus rubra"	39.1900226	-91.02095496
"Quercus rubra"	39.70983777	-91.36120364
"Quercus rubra"	36.68187274	-92.89159188
"Quercus rubra"	36.59094921	-93.81931259
"Quercus rubra"	39.520451	-91.68863106
"Quercus rubra"	37.92918994	-91.98019235
"Quercus rubra"	37.89112984	-90.31813648
"Quercus rubra"	37.72978504	-92.05013758
"Quercus rubra"	36.97117261	-90.55198745
"Quercus rubra"	40.48042045	-95.61821519
"Quercus rubra"	38.05075321	-93.69810611
"Quercus rubra"	38.86153482	-93.88878888
"Quercus rubra"	36.54980641	-94.48892402
"Quercus rubra"	36.80852514	-93.46941469
"Quercus rubra"	36.97014133	-90.54805131
"Quercus rubra"	37.15050517	-94.46078131
"Quercus rubra"	36.82900587	-90.54870309
"Quercus rubra"	37.40989718	-91.29046479
"Quercus rubra"	36.89973572	-92.09883698
"Quercus rubra"	37.19118137	-89.4796381
"Quercus rubra"	37.4405831	-90.50111467
"Quercus rubra"	37.18120244	-93.71907701
"Quercus rubra"	36.85011962	-93.12080221
"Quercus rubra"	39.65800215	-92.48191234
"Quercus rubra"	38.01102526	-91.33027694
"Quercus rubra"	38.21161357	-93.74196245
"Quercus rubra"	37.19036303	-89.63996035
"Quercus rubra"	37.63813143	-92.05856298
"Quercus rubra"	37.55081211	-92.04166527
"Quercus rubra"	36.76814232	-91.27803732
"Quercus rubra"	36.81935658	-91.35967901
"Quercus rubra"	38.54827754	-90.43141808
"Quercus rubra"	38.08998253	-91.70033543
"Quercus rubra"	40.50845052	-94.02825151
"Quercus rubra"	38.10021202	-90.61149644
"Quercus rubra"	36.88974887	-90.27990369
"Quercus rubra"	40.3312101	-92.16986447
"Quercus rubra"	37.35921029	-91.96802203
"Quercus rubra"	37.70036928	-92.86101833
"Quercus rubra"	39.008482	-90.94887133
"Quercus rubra"	39.00848596	-90.93155036
"Quercus rubra"	38.8988017	-91.56850583
"Quercus rubra"	39.07101099	-77.0000162
"Quercus rubra"	38.13043116	-90.68125311
"Quercus rubra"	37.62939013	-90.6303886
"Quercus rubra"	44.21082766	-69.42809589
"Quercus rubra"	40.47978094	-90.06114729
"Quercus rubra"	34.77094202	-92.31854092
"Quercus rubra"	33.84015633	-84.40863458
"Quercus rubra"	42.44578477	-71.16688334
"Quercus rubra"	39.30562416	-76.69416342
"Quercus rubra"	45.02066315	-93.04166537
"Quercus rubra"	38.59483361	-92.13315274
"Quercus rubra"	43.22292199	-71.58163139
"Quercus rubra"	40.48512396	-80.01480444
"Quercus rubra"	40.42547934	-80.02684683
"Quercus rubra"	41.80526104	-71.50071929
"Quercus rubra"	41.80694964	-71.49823634
"Quercus rubra"	38.33169436	-81.69294537
"Quercus rubra"	45.55498804	-73.16912765
"Quercus rubra"	41.78580248	-73.73193276
"Quercus rubra"	39.95058823	-79.36757253
"Quercus rubra"	39.03335576	-77.03398993
"Quercus rubra"	38.49942729	-90.51528332
"Quercus rubra"	40.05103759	-81.01758948
"Quercus rubra"	41.70137191	-79.39862556
"Quercus rubra"	38.9492092	-77.16729654
"Quercus rubra"	38.5019017	-90.51698445
"Quercus rubra"	38.25188842	-90.61714795
"Quercus rubra"	39.01543358	-90.9987326
"Quercus rubra"	39.54876528	-84.71591001
"Quercus rubra"	40.29622841	-95.61946211
"Quercus rubra"	38.95343822	-77.04558494
"Quercus rubra"	38.95369832	-77.04738145
"Quercus rubra"	38.95123502	-77.04818338
"Quercus rubra"	38.9511745	-77.04563159
"Quercus rubra"	38.95426564	-77.04664849
"Quercus rubra"	38.95224502	-77.04802408
"Quercus rubra"	38.95296307	-77.04706765
"Quercus rubra"	38.95333458	-77.04472152
"Quercus rubra"	38.95079779	-77.04760138
"Quercus rubra"	38.95160502	-77.04685793
"Quercus rubra"	38.95050644	-77.04488954
"Quercus rubra"	38.95063714	-77.0452359
"Quercus rubra"	38.95131721	-77.04655895
"Quercus rubra"	38.95039314	-77.0471724
"Quercus rubra"	38.95188558	-77.04681106
"Quercus rubra"	38.95424493	-77.04686752
"Quercus rubra"	38.95395975	-77.04691738
"Quercus rubra"	38.95158527	-77.04592498
"Quercus rubra"	38.95230475	-77.04822792
"Quercus rubra"	38.9503663	-77.04616316
"Quercus rubra"	38.95041624	-77.04639827
"Quercus rubra"	38.95038607	-77.04620864
"Quercus rubra"	38.95167357	-77.04783744
"Quercus rubra"	38.95158727	-77.04596819
"Quercus rubra"	38.95054094	-77.04843402
"Quercus rubra"	38.95419932	-77.04651899
"Quercus rubra"	38.95066333	-77.04580465
"Quercus rubra"	43.10991462	-91.18542641
"Quercus rubra"	43.09280819	-91.18138068
"Quercus rubra"	43.09957153	-91.2199633
"Quercus rubra"	43.10081453	-91.21697341
"Quercus rubra"	43.08675437	-91.18387835
"Quercus rubra"	43.08452047	-91.18316472
"Quercus rubra"	43.09533527	-91.18997522
"Quercus rubra"	43.08910023	-91.19142148
"Quercus rubra"	43.06580466	-91.18639857
"Quercus rubra"	43.08022955	-91.18925232
"Quercus rubra"	43.09326728	-91.19257193
"Quercus rubra"	43.06987815	-91.18177797
"Quercus rubra"	43.0752397	-91.18588355
"Quercus rubra"	43.08093436	-91.18969211
"Quercus rubra"	43.0987553	-91.21254462
"Quercus rubra"	43.10248087	-91.21317809
"Quercus rubra"	43.07238766	-91.18789283
"Quercus rubra"	43.07464167	-91.18301391
"Quercus rubra"	43.10804479	-91.18074203
"Quercus rubra"	43.10843852	-91.18109333
"Quercus rubra"	43.11215357	-91.21952253
"Quercus rubra"	44.35917237	-68.20033275
"Quercus rubra"	44.36827568	-68.19327508
"Quercus rubra"	44.3706054	-68.18928418
"Quercus rubra"	44.36273696	-68.18565362
"Quercus rubra"	44.35604694	-68.18711702
"Quercus rubra"	44.37894078	-68.30285732
"Quercus rubra"	44.32525958	-68.32755313
"Quercus rubra"	44.32531477	-68.3226977
"Quercus rubra"	44.32538683	-68.31848913
"Quercus rubra"	44.32057032	-68.3187875
"Quercus rubra"	44.32223258	-68.32571098
"Quercus rubra"	44.35426316	-68.18065487
"Quercus rubra"	44.35192166	-68.18390913
"Quercus rubra"	44.33893604	-68.17825637
"Quercus rubra"	44.33399576	-68.18957358
"Quercus rubra"	44.35179654	-68.22746557
"Quercus rubra"	44.3237323	-68.26059399
"Quercus rubra"	44.33154333	-68.37623627
"Quercus rubra"	44.3973961	-68.25849184
"Quercus rubra"	44.37922057	-68.25394915
"Quercus rubra"	44.36846079	-68.25995045
"Quercus rubra"	44.36754494	-68.27254371
"Quercus rubra"	44.36505651	-68.2777965
"Quercus rubra"	44.36224648	-68.20835576
"Quercus rubra"	44.35443722	-68.27719721
"Quercus rubra"	44.35743633	-68.27988614
"Quercus rubra"	44.35694187	-68.27289173
"Quercus rubra"	44.37023437	-68.25478119
"Quercus rubra"	44.36262234	-68.28289133
"Quercus rubra"	44.36322664	-68.28219125
"Quercus rubra"	44.35817372	-68.2860918
"Quercus rubra"	44.3824383	-68.2969819
"Quercus rubra"	44.34503249	-68.20505176
"Quercus rubra"	44.34183558	-68.21057813
"Quercus rubra"	44.32056499	-68.31552391
"Quercus rubra"	44.36696092	-68.21254182
"Quercus rubra"	44.36744856	-68.21147018
"Quercus rubra"	44.36346743	-68.19290307
"Quercus rubra"	44.358162	-68.18686043
"Quercus rubra"	44.35258389	-68.18815515
"Quercus rubra"	44.36814301	-68.20289787
"Quercus rubra"	44.31844057	-68.23282386
"Quercus rubra"	44.36620467	-68.20080368
"Quercus rubra"	44.35831633	-68.20128872
"Quercus rubra"	44.36369271	-68.25648577
"Quercus rubra"	44.36385162	-68.25704983
"Quercus rubra"	44.36358522	-68.25732595
"Quercus rubra"	44.3662189	-68.25648841
"Quercus rubra"	47.92013504	-89.05518306
"Quercus rubra"	47.92723757	-89.03902195
"Quercus rubra"	45.54710498	-84.68401754
"Quercus rubra"	45.5585847	-84.70201191
"Quercus rubra"	45.56044499	-84.66829885
"Quercus rubra"	45.56141703	-84.67067307
"Quercus rubra"	45.54443232	-84.68045477
"Quercus rubra"	45.56495234	-84.6805302
"Quercus rubra"	45.65164465	-84.37137556
"Quercus rubra"	45.63997614	-85.05806646
"Quercus rubra"	45.38317807	-84.54201303
"Quercus rubra"	45.31112681	-84.16393937
"Quercus rubra"	45.58257588	-84.6422684
"Quercus rubra"	45.63051207	-85.06413012
"Quercus rubra"	45.65570529	-84.37357248
"Quercus rubra"	45.75181998	-84.88833215
"Quercus rubra"	45.69041923	-84.96740706
"Quercus rubra"	44.74903062	-84.65615816
"Quercus rubra"	45.68883171	-84.96299107
"Quercus rubra"	45.6308896	-85.070452
"Quercus rubra"	45.54220261	-84.67849946
"Quercus rubra"	45.54073632	-84.68007265
"Quercus rubra"	45.54638589	-84.66868224
"Quercus rubra"	45.43591147	-84.56770907
"Quercus rubra"	45.41187456	-84.5867432
"Quercus rubra"	45.36359236	-84.38347874
"Quercus rubra"	45.25235607	-84.21829183
"Quercus rubra"	45.55694204	-84.66070159
"Quercus rubra"	45.1408615	-84.19641425
"Quercus rubra"	45.55876674	-84.69975283
"Quercus rubra"	45.54474251	-84.66253721
"Quercus rubra"	45.55275641	-84.68325886
"Quercus rubra"	45.54700445	-84.65536585
"Quercus rubra"	45.53597392	-84.70197135
"Quercus rubra"	45.55280359	-84.73025421
"Quercus rubra"	45.43219492	-84.54417933
"Quercus rubra"	45.43387329	-84.54118158
"Quercus rubra"	45.4897735	-84.68514552
"Quercus rubra"	45.57812006	-84.75456334
"Quercus rubra"	45.5609434	-84.69609317
"Quercus rubra"	48.5926027	-93.15233337
"Quercus rubra"	48.59107447	-93.14087443
"Quercus rubra"	48.43695956	-92.74230425
"Quercus rubra"	48.43493034	-92.74799357
"Quercus rubra"	48.43617704	-92.74941805
"Quercus rubra"	48.43786046	-92.88347743
"Quercus rubra"	48.43500095	-92.88468573
"Quercus rubra"	48.43360482	-92.8826162
"Quercus rubra"	48.43363408	-92.83122157
"Quercus rubra"	48.45565434	-92.76055429
"Quercus rubra"	48.44152027	-92.76919492
"Quercus rubra"	48.37609951	-92.55590113
"Quercus rubra"	48.34645102	-92.55397459
"Quercus rubra"	48.39176131	-92.52717646
"Quercus rubra"	48.58754179	-93.17714228
"Quercus rubra"	48.55201767	-92.95836867
"Quercus rubra"	48.57883998	-93.08991271
"Quercus rubra"	48.57752372	-93.13865306
"Quercus rubra"	35.52637006	-83.75365753
"Quercus rubra"	35.52311784	-83.75246134
"Quercus rubra"	35.54219073	-83.75561101
"Quercus rubra"	35.53036661	-83.77095365
"Quercus rubra"	35.50650627	-83.75627659
"Quercus rubra"	35.52294436	-83.81124421
"Quercus rubra"	35.52429606	-83.7976155
"Quercus rubra"	35.52846995	-83.80005754
"Quercus rubra"	35.51947142	-83.81866518
"Quercus rubra"	35.51545517	-83.80743317
"Quercus rubra"	35.50299936	-83.81612405
"Quercus rubra"	35.50898935	-83.81103435
"Quercus rubra"	35.54516015	-83.79022362
"Quercus rubra"	35.53171761	-83.77350134
"Quercus rubra"	35.53910439	-83.78445951
"Quercus rubra"	40.0894392	-75.45809768
"Quercus rubra"	40.08804071	-75.46033649
"Quercus rubra"	40.09167568	-75.46185269
"Quercus rubra"	40.11682258	-75.43017873
"Quercus rubra"	40.10756578	-75.44565641
"Quercus rubra"	33.83374528	-80.80479887
"Quercus rubra"	35.5728	-83.79594909
"Quercus rubra"	35.68176196	-83.48069263
"Quercus rubra"	35.67280019	-83.43579956
"Quercus rubra"	35.6820597	-83.48439671
"Quercus rubra"	35.74365611	-83.40025652
"Quercus rubra"	35.64682969	-83.48736732
"Quercus rubra"	35.64780492	-83.48307833
"Quercus rubra"	35.64702739	-83.48554928
"Quercus rubra"	35.67666694	-83.47682945
"Quercus rubra"	35.68149453	-83.47098953
"Quercus rubra"	35.66366223	-83.47250111
"Quercus rubra"	35.71726399	-83.38221267
"Quercus rubra"	35.61600525	-83.81976894
"Quercus rubra"	35.59487369	-83.85870807
"Quercus rubra"	35.61262196	-83.77473373
"Quercus rubra"	35.596655	-83.85569684
"Quercus rubra"	35.57797198	-83.76628525
"Quercus rubra"	35.56710572	-83.76923841
"Quercus rubra"	35.5853208	-83.78164555
"Quercus rubra"	35.57259748	-83.79524424
"Quercus rubra"	35.59917872	-83.75781678
"Quercus rubra"	35.60153352	-83.7558664
"Quercus rubra"	35.56373517	-83.76816844
"Quercus rubra"	35.56587035	-83.80451595
"Quercus rubra"	35.60533133	-83.76625015
"Quercus rubra"	35.60869016	-83.80755931
"Quercus rubra"	35.5541934	-83.85816264
"Quercus rubra"	35.55142912	-83.85868999
"Quercus rubra"	35.51791592	-83.92679996
"Quercus rubra"	35.67858886	-83.39913847
"Quercus rubra"	35.69262394	-83.38788063
"Quercus rubra"	35.61372347	-83.85149255
"Quercus rubra"	35.54793062	-83.83343173
"Quercus rubra"	35.52371157	-83.85672878
"Quercus rubra"	35.53618289	-83.84262776
"Quercus rubra"	35.53851507	-83.80584569
"Quercus rubra"	35.54649213	-83.80462209
"Quercus rubra"	35.54893081	-83.79998386
"Quercus rubra"	35.56679311	-83.76586731
"Quercus rubra"	35.66180559	-83.38640578
"Quercus rubra"	35.72878678	-83.44397632
"Quercus rubra"	35.73616337	-83.41760714
"Quercus rubra"	35.70312976	-83.40869831
"Quercus rubra"	35.73913456	-83.41407686
"Quercus rubra"	35.74397863	-83.40033744
"Quercus rubra"	39.22718856	-78.6313625
"Quercus rubra"	35.08085981	-83.13972873
"Quercus rubra"	35.74526067	-82.10615838
"Quercus rubra"	35.59881396	-83.50069356
"Quercus rubra"	35.60123087	-83.49850151
"Quercus rubra"	35.99829252	-81.84948285
"Quercus rubra"	35.40957397	-83.0486226
"Quercus rubra"	35.16663227	-83.01898958
"Quercus rubra"	35.07327806	-83.17788929
"Quercus rubra"	35.10129222	-83.09896431
"Quercus rubra"	35.73060106	-82.41260478
"Quercus rubra"	35.20773068	-83.58795989
"Quercus rubra"	35.18137756	-83.57163448
"Quercus rubra"	35.23060051	-83.58582137
"Quercus rubra"	35.0591104	-83.10047016
"Quercus rubra"	35.0548008	-83.09951626
"Quercus rubra"	35.44594488	-82.27242918
"Quercus rubra"	35.69499345	-82.39992346
"Quercus rubra"	35.69439163	-82.40202195
"Quercus rubra"	35.70447816	-82.39759491
"Quercus rubra"	35.70369776	-82.40039732
"Quercus rubra"	35.80273446	-82.28263368
"Quercus rubra"	35.82325852	-82.16958818
"Quercus rubra"	35.81285417	-82.17196139
"Quercus rubra"	35.81931676	-82.16900586
"Quercus rubra"	35.71963407	-82.37551421
"Quercus rubra"	35.82422275	-82.16890826
"Quercus rubra"	35.75631919	-82.20611142
"Quercus rubra"	35.82038363	-82.17297121
"Quercus rubra"	36.39376753	-81.55218956
"Quercus rubra"	35.49882315	-79.91003464
"Quercus rubra"	35.35057804	-80.09863444
"Quercus rubra"	35.03111796	-83.37228335
"Quercus rubra"	35.5755763	-81.70495169
"Quercus rubra"	35.70685047	-82.24363425
"Quercus rubra"	36.01933521	-81.70597406
"Quercus rubra"	35.62635718	-81.73713394
"Quercus rubra"	35.74776286	-82.18668337
"Quercus rubra"	34.95687074	-82.85481193
"Quercus rubra"	35.5812125	-81.68566087
"Quercus rubra"	35.70880461	-82.24828028
"Quercus rubra"	35.17408788	-82.99772224
"Quercus rubra"	35.59875602	-83.50151788
"Quercus rubra"	35.54020346	-83.83057561
"Quercus rubra"	35.52602676	-83.85150986
"Quercus rubra"	35.60494158	-83.92214165
"Quercus rubra"	35.53214336	-83.8474118
"Quercus rubra"	35.55016208	-83.83597025
"Quercus rubra"	35.6018051	-83.50198188
"Quercus rubra"	35.55237148	-83.83692377
"Quercus rubra"	35.54118779	-83.82972372
"Quercus rubra"	35.59903657	-83.50074063
"Quercus rubra"	35.59897952	-83.49859891
"Quercus rubra"	35.60175674	-83.50171975
"Quercus rubra"	36.07686564	-82.40411433
"Quercus rubra"	36.07682319	-82.40510548
"Quercus rubra"	36.08061897	-82.41721656
"Quercus rubra"	36.07789592	-82.40115166
"Quercus rubra"	36.08134074	-82.41826701
"Quercus rubra"	36.41110264	-81.37982394
"Quercus rubra"	35.28611331	-83.48578708
"Quercus rubra"	35.31210391	-83.52152191
"Quercus rubra"	36.49885421	-81.29823206
"Quercus rubra"	36.4633165	-81.34274685
"Quercus rubra"	35.99881562	-81.84977478
"Quercus rubra"	35.07660374	-83.17754041
"Quercus rubra"	35.07703113	-83.17847965
"Quercus rubra"	34.76610552	-83.14136643
"Quercus rubra"	35.07896282	-83.17580252
"Quercus rubra"	34.94783502	-83.20973032
"Quercus rubra"	35.02871109	-83.24781905
"Quercus rubra"	35.02142509	-83.18707893
"Quercus rubra"	35.03109984	-83.16100686
"Quercus rubra"	35.02943486	-83.17413576
"Quercus rubra"	35.02137132	-83.15873811
"Quercus rubra"	36.08969452	-81.12832279
"Quercus rubra"	35.94232991	-78.97790331
"Quercus rubra"	36.08646973	-82.35367255
"Quercus rubra"	36.07925522	-82.36771458
"Quercus rubra"	36.07245409	-82.37956348
"Quercus rubra"	35.33295816	-83.52204156
"Quercus rubra"	35.33296274	-83.52062183
"Quercus rubra"	36.44479864	-81.06012446
"Quercus rubra"	35.1859015	-83.58640475
"Quercus rubra"	35.19060094	-83.59522993
"Quercus rubra"	35.19053354	-83.5989576
"Quercus rubra"	35.20750617	-83.58164087
"Quercus rubra"	35.18907054	-83.61783777
"Quercus rubra"	35.193873	-83.59857898
"Quercus rubra"	35.77857203	-82.39444162
"Quercus rubra"	35.23050113	-83.5717196
"Quercus rubra"	35.22077505	-83.60505549
"Quercus rubra"	35.00699031	-83.06906075
"Quercus rubra"	34.98955046	-83.08091126
"Quercus rubra"	36.38965971	-81.5704383
"Quercus rubra"	35.88946883	-82.81882744
"Quercus rubra"	36.06937816	-82.37893322
"Quercus rubra"	35.8545641	-82.84047605
"Quercus rubra"	35.40889177	-82.25860784
"Quercus rubra"	35.92317348	-82.89468466
"Quercus rubra"	35.00922571	-82.98546208
"Quercus rubra"	35.08758801	-83.02844396
"Quercus rubra"	35.0922433	-83.01921927
"Quercus rubra"	35.07214042	-82.97629972
"Quercus rubra"	35.02306843	-82.98493788
"Quercus rubra"	35.01598008	-82.9900406
"Quercus rubra"	35.09023947	-83.02783461
"Quercus rubra"	35.02733052	-82.98374444
"Quercus rubra"	35.03636238	-82.99472208
"Quercus rubra"	35.06390691	-83.02647591
"Quercus rubra"	35.07733074	-83.0195743
"Quercus rubra"	35.02492485	-82.993829
"Quercus rubra"	35.03655736	-82.97274504
"Quercus rubra"	35.08430283	-83.03910035
"Quercus rubra"	35.03732362	-82.97842066
"Quercus rubra"	35.03152668	-82.98052879
"Quercus rubra"	35.09434427	-83.00260214
"Quercus rubra"	35.08747453	-83.03559963
"Quercus rubra"	35.0168153	-82.96599141
"Quercus rubra"	35.02079866	-82.97493202
"Quercus rubra"	35.04536135	-82.99421956
"Quercus rubra"	35.06186338	-82.99443302
"Quercus rubra"	35.04064996	-82.98619234
"Quercus rubra"	35.018958	-82.97741263
"Quercus rubra"	35.07527584	-83.01184368
"Quercus rubra"	35.08768764	-83.0350081
"Quercus rubra"	35.04301716	-82.99078198
"Quercus rubra"	35.07105876	-83.01209811
"Quercus rubra"	35.05812188	-83.01986805
"Quercus rubra"	35.04524867	-82.99970567
"Quercus rubra"	35.01597732	-82.9700102
"Quercus rubra"	35.79193858	-82.21284299
"Quercus rubra"	35.80000192	-82.21865231
"Quercus rubra"	35.80183506	-82.28133791
"Quercus rubra"	35.69932813	-82.40101998
"Quercus rubra"	35.81518182	-82.16738721
"Quercus rubra"	35.78271116	-82.30753952
"Quercus rubra"	35.81759279	-82.16697995
"Quercus rubra"	35.71767359	-82.22296643
"Quercus rubra"	35.71908908	-82.22595064
"Quercus rubra"	35.75872233	-82.20942786
"Quercus rubra"	35.78431906	-82.23668946
"Quercus rubra"	36.39127769	-81.55597332
"Quercus rubra"	35.50341238	-83.81817409
"Quercus rubra"	35.54453475	-83.78634522
"Quercus rubra"	36.4085844	-81.50893822
"Quercus rubra"	36.39545041	-81.55120321
"Quercus rubra"	35.6086351	-83.80508777
"Quercus rubra"	36.37642151	-81.63912635
"Quercus rubra"	36.40559212	-81.4660516
"Quercus rubra"	36.4525433	-81.48749511
"Quercus rubra"	36.39398097	-81.55498492
"Quercus rubra"	35.3325801	-80.09614698
"Quercus rubra"	35.41940633	-80.08192103
"Quercus rubra"	35.48184332	-79.94913409
"Quercus rubra"	35.91897085	-81.9405794
"Quercus rubra"	35.2307946	-83.23753712
"Quercus rubra"	35.43417594	-83.0321863
"Quercus rubra"	35.09430037	-83.51674462
"Quercus rubra"	35.33642365	-83.5955479
"Quercus rubra"	35.04028117	-83.52516173
"Quercus rubra"	35.63768528	-81.72770613
"Quercus rubra"	35.65776593	-81.41429267
"Quercus rubra"	34.87149817	-83.0780714
"Quercus rubra"	36.07928938	-79.14020091
"Quercus rubra"	35.30271742	-81.08925096
"Quercus rubra"	35.09589722	-82.9578701
"Quercus rubra"	34.97935601	-83.0868721
"Quercus rubra"	34.99699911	-83.11862795
"Quercus rubra"	35.40639759	-82.25861989
"Quercus rubra"	35.41811437	-82.21899175
"Quercus rubra"	35.41778726	-82.22241108
"Quercus rubra"	35.43090851	-82.25315
"Quercus rubra"	35.11176094	-79.35181767
"Quercus rubra"	35.33390693	-80.09721719
"Quercus rubra"	35.3710954	-80.07684458
"Quercus rubra"	35.41808585	-80.02329558
"Quercus rubra"	35.39831657	-80.07300309
"Quercus rubra"	35.41851807	-80.02597322
"Quercus rubra"	35.3090696	-80.09178552
"Quercus rubra"	35.37084171	-80.07786108
"Quercus rubra"	35.39982953	-80.07160353
"Quercus rubra"	35.48092817	-79.95129064
"Quercus rubra"	35.41461387	-80.09084583
"Quercus rubra"	35.88638522	-82.81847729
"Quercus rubra"	35.23235516	-83.59112397
"Quercus rubra"	35.18843079	-83.57431131
"Quercus rubra"	35.1992232	-83.59915051
"Quercus rubra"	35.19442688	-83.5916761
"Quercus rubra"	35.1959814	-83.59418945
"Quercus rubra"	35.18998883	-83.58718841
"Quercus rubra"	35.18105694	-83.61846914
"Quercus rubra"	35.80276892	-82.16686276
"Quercus rubra"	35.59904277	-83.49866842
"Quercus rubra"	35.28582998	-83.66283373
"Quercus rubra"	36.00118214	-78.66966323
"Quercus rubra"	35.98473252	-79.00479358
"Quercus rubra"	36.07907648	-79.02117669
"Quercus rubra"	36.08733264	-79.02129728
"Quercus rubra"	35.10064538	-83.10140358
"Quercus rubra"	35.01676828	-82.96422193
"Quercus rubra"	36.07915235	-82.40419023
"Quercus rubra"	35.32256155	-83.51772006
"Quercus rubra"	35.30350508	-81.08767252
"Quercus rubra"	35.33253063	-83.51958641
"Quercus rubra"	35.03106571	-82.74134805
"Quercus rubra"	35.26894065	-82.23671797
"Quercus rubra"	36.25482691	-80.50165372
"Quercus rubra"	35.42169118	-80.0229408
"Quercus rubra"	35.43973035	-80.06391469
"Quercus rubra"	36.01645967	-81.15163282
"Quercus rubra"	35.70731721	-82.24815604
"Quercus rubra"	36.02940038	-81.87008781
"Quercus rubra"	35.6009187	-83.50171313
"Quercus rubra"	35.10700632	-83.18511273
"Quercus rubra"	35.0231709	-83.17692111
"Quercus rubra"	36.18011719	-78.88588034
"Quercus rubra"	35.32787538	-83.52613389
"Quercus rubra"	35.39492847	-82.26176384
"Quercus rubra"	35.07575752	-82.98172762
"Quercus rubra"	35.51492945	-83.80774357
"Quercus rubra"	35.54052915	-83.78180428
"Quercus rubra"	35.50944569	-83.8103536
"Quercus rubra"	35.51928447	-83.92711906
"Quercus rubra"	35.72645915	-83.44288133
"Quercus rubra"	35.42934306	-83.03783744
"Quercus rubra"	35.57071854	-81.71198828
"Quercus rubra"	36.01563196	-81.14802922
"Quercus rubra"	35.14428055	-80.94608727
"Quercus rubra"	35.27116186	-82.23531555
"Quercus rubra"	35.39741287	-80.06958604
"Quercus rubra"	35.93675928	-81.93664629
"Quercus rubra"	35.93650691	-81.93564392
"Quercus rubra"	35.23587445	-79.80675879
"Quercus rubra"	35.91806137	-81.94078961
"Quercus rubra"	35.54382519	-83.83692109
"Quercus rubra"	35.17932834	-83.5625345
"Quercus rubra"	35.41429591	-83.04748517
"Quercus rubra"	35.01281575	-82.98655678
"Quercus rubra"	35.04049435	-82.97650425
"Quercus rubra"	35.02727712	-82.97665671
"Quercus rubra"	35.0083849	-82.99145348
"Quercus rubra"	35.01262573	-82.98527523
"Quercus rubra"	35.02235189	-82.9908412
"Quercus rubra"	35.04050997	-82.97924753
"Quercus rubra"	35.07579957	-82.97892313
"Quercus rubra"	35.063429	-82.98003372
"Quercus rubra"	35.02537888	-82.97236446
"Quercus rubra"	35.05552464	-82.99332817
"Quercus rubra"	35.03868777	-82.97236432
"Quercus rubra"	35.00255815	-82.97147602
"Quercus rubra"	35.08078241	-83.03695541
"Quercus rubra"	35.00155282	-82.9671477
"Quercus rubra"	35.06634879	-83.00016153
