"Source" "IslandID" "TaxonOrig" "GenusL69" "SpeciesL69" "SubspL69" "SpeciesID" "SubspID" "Sex" "Plumage" "BodyL" "WingL" "TailL" "BeakW" "BeakH" "LBeakL" "UBeakL" "N.UBkL" "TarsusL" "MToeL"
"Snodgrass & Heller (1904)" "Snti_Jams" "Geospiza prosthemelas prosthemelas" "Camarhynchus" "parvulus" "parvulus" "Cam.par" "Cam.par.par" "M" NA 105 63 38 6.3 8 5.7 10.7 "7" 20.5 NA
"Snodgrass & Heller (1904)" "Snti_Jams" "Geospiza prosthemelas prosthemelas" "Camarhynchus" "parvulus" "parvulus" "Cam.par" "Cam.par.par" "M" NA 112 62 36.5 6.5 7.7 5.3 11 "7" 19.7 NA
"Snodgrass & Heller (1904)" "Snti_Jams" "Geospiza prosthemelas prosthemelas" "Camarhynchus" "parvulus" "parvulus" "Cam.par" "Cam.par.par" "M" NA 110 63.5 45 6 7.5 5 11 "6.7" 20 NA
"Snodgrass & Heller (1904)" "Snti_Jams" "Geospiza prosthemelas prosthemelas" "Camarhynchus" "parvulus" "parvulus" "Cam.par" "Cam.par.par" "M" NA 115 62.5 39 6 7 5.3 11 "6.5" 20 NA
"Snodgrass & Heller (1904)" "Snti_Jams" "Geospiza prosthemelas prosthemelas" "Camarhynchus" "parvulus" "parvulus" "Cam.par" "Cam.par.par" "M" NA 106 64 46 6.3 7.3 6 11.5 "7.7" 20 NA
"Snodgrass & Heller (1904)" "Snti_Jams" "Geospiza prosthemelas prosthemelas" "Camarhynchus" "parvulus" "parvulus" "Cam.par" "Cam.par.par" "M" NA 110 62 42 6 7.5 5.3 11 "7" 19.5 NA
"Snodgrass & Heller (1904)" "Snti_Jams" "Geospiza prosthemelas prosthemelas" "Camarhynchus" "parvulus" "parvulus" "Cam.par" "Cam.par.par" "F" NA 111 56 38 6 7.5 5.5 11.5 "7" 18.5 NA
"Snodgrass & Heller (1904)" "Snti_Jams" "Geospiza prosthemelas prosthemelas" "Camarhynchus" "parvulus" "parvulus" "Cam.par" "Cam.par.par" "F" NA 104 60 41 5.7 8 5.3 11 "7" 19 NA
"Snodgrass & Heller (1904)" "Flor_Chrl" "Geospiza prosthemelas prosthemelas" "Camarhynchus" "parvulus" "parvulus" "Cam.par" "Cam.par.par" "M" NA 115 62 40 6.5 8 5.7 12 "7.5" 18.7 NA
"Snodgrass & Heller (1904)" "Flor_Chrl" "Geospiza prosthemelas prosthemelas" "Camarhynchus" "parvulus" "parvulus" "Cam.par" "Cam.par.par" "M" NA 115 62 39.5 6 8.5 5.5 11.7 "7.3" 20 NA
